nomor_seri,jenis,asal_satuan,status_unit
PU - 42 - 098 - 2026,DART Portabel - Pop,MAKOSTRAD,Beroperasi
FL - 42 - 098 - 2026,DART Portabel - Flip,MAKO KOPASSUS,Rusak
SW - 42 - 098 - 2026,DART Portabel - Swing,DIVIF 1 KOSTRAD,Perbaikan
MV - 42 - 098 - 2026,Moving Target,AKMIL,Nonaktif
# -------------------------------------------------------------
# PANDUAN PENGISIAN TEMPLATE CSV:
# -------------------------------------------------------------
# 1. Kolom 'nomor_seri': Masukkan nomor seri unik unit (Contoh: PU - 42 - 098 - 2026, FL - 42 - 098 - 2026, dll).
# 2. Kolom 'jenis': Harus bernilai salah satu dari pilihan berikut:
#    - DART STD
#    - DART STK
#    - DART Portabel - Swing
#    - DART Portabel - Pop
#    - DART Portabel - Flip
#    - DART Marathon Target
#    - Moving Target
# 3. Kolom 'asal_satuan': Harus sesuai nama Satuan yang SUDAH TERDAFTAR di database (Contoh: MAKOSTRAD, AKMIL).
# 4. Kolom 'status_unit': Harus bernilai salah satu dari pilihan berikut:
#    - Beroperasi
#    - Rusak
#    - Perbaikan
#    - Nonaktif
# 5. Catatan: Baris panduan yang diawali dengan tanda '#' ini otomatis diabaikan oleh sistem.
