nomor_seri,jenis,asal_satuan,status_unit
DART-BULK-101,DART STD,MAKOSTRAD,Beroperasi
DART-BULK-102,DART STK,DIVIF 1 KOSTRAD,Beroperasi
DART-BULK-103,SKE,GRUP 1 KOPASSUS,Beroperasi
DART-BULK-104,MOVING TARGET,GRUP 2 KOPASSUS,Perbaikan
DART-BULK-105,DART STD,YONIF RAIDER 300,Beroperasi
DART-BULK-106,DART STK,YONIF 310,Beroperasi
DART-BULK-107,SKE,YONIF PARA RAIDER 501,Rusak
DART-BULK-108,MOVING TARGET,YON ARMED 9,Beroperasi
DART-BULK-109,DART STD,YON KAV 4,Nonaktif
DART-BULK-110,DART STK,YON ARMED 4,Beroperasi
