nomor_seri,nama_dart,jenis_dart,asal_satuan,status_unit
TEST-BATT-001,SYSTEM RADAR TRACKING A,SKE,SATUAN RADAR 211,Siap Ops
TEST-BATT-002,DART STATIC BATTALION,DART STD,YONIF 300/RBW,Siap Ops
TEST-BATT-003,TARGET BERGERAK TACTICAL,MOVING TARGET,BRIGIF 15/KUJANG,Siap Ops
TEST-BATT-004,DART STK COMMANDO,DART STK,GRUP 1 KOPASSUS,Siap Ops
TEST-BATT-005,SENSOR KENDALI SKE-V2,SKE,SKADRON UDARA 1,Siap Ops
TEST-BATT-006,TARGET GESER INFANTERI,MOVING TARGET,PUSDIKIF,Rusak
TEST-BATT-007,DART STATIC HEAVY,DART STD,YONARMED 13,Siap Ops
TEST-BATT-008,SYSTEM MONITORING SKE,SKE,YONHUB/1/KOSTRAD,Siap Ops
TEST-BATT-009,DART STK SPECIALIST,DART STK,SATGAKOAL,Siap Ops
TEST-BATT-010,TARGET ELEKTRONIK ALPHA,DART STD,LANUD ATS,Nonaktif
